order_type,scope_id,item_id,work,total_count,owned_count,ordered_count,readable_via_collection_count,missing_count,completion_percentage,notes
chronological,complete_dkr_continuity,dark_knight_last_crusade,Dark Knight Returns: The Last Crusade,1,1,0,0,0,100.0,
chronological,complete_dkr_continuity,superman_year_one_dkr,Superman: Year One,3,3,0,0,0,100.0,
chronological,core_batman_saga,dark_knight_golden_child,Dark Knight Returns: The Golden Child,1,1,0,0,0,100.0,
chronological,core_batman_saga,dark_knight_master_race,Dark Knight III: The Master Race,9,9,0,0,0,100.0,Canonical item is #1-9; any source #10 row is not merged.
chronological,core_batman_saga,dark_knight_returns,The Dark Knight Returns,4,4,0,0,0,100.0,
chronological,core_batman_saga,dark_knight_strikes_again,Batman: The Dark Knight Strikes Again,3,3,0,0,0,100.0,
chronological,extended_miller_dkr_related,all_star_batman_robin,All Star Batman & Robin the Boy Wonder,10,10,0,0,0,100.0,Complete published run is #1-10; narrative is unfinished.
publication,complete_dkr_continuity,dark_knight_last_crusade,Dark Knight Returns: The Last Crusade,1,1,0,0,0,100.0,
publication,complete_dkr_continuity,superman_year_one_dkr,Superman: Year One,3,3,0,0,0,100.0,
publication,core_batman_saga,dark_knight_golden_child,Dark Knight Returns: The Golden Child,1,1,0,0,0,100.0,
publication,core_batman_saga,dark_knight_master_race,Dark Knight III: The Master Race,9,9,0,0,0,100.0,Canonical item is #1-9; any source #10 row is not merged.
publication,core_batman_saga,dark_knight_returns,The Dark Knight Returns,4,4,0,0,0,100.0,
publication,core_batman_saga,dark_knight_strikes_again,Batman: The Dark Knight Strikes Again,3,3,0,0,0,100.0,
publication,extended_miller_dkr_related,all_star_batman_robin,All Star Batman & Robin the Boy Wonder,10,10,0,0,0,100.0,Complete published run is #1-10; narrative is unfinished.
publication,extended_miller_dkr_related,spawn_batman_miller,Spawn/Batman,1,0,0,0,1,0.0,
