item_id,item_name,item_type,parent_item_id,era,start_year,end_year,level_of_coverage,checklist_exists,reading_order_verified,scopes_available,issue_count,owned_count,ordered_count,missing_count,readable_via_collection_count,completion_percentage,source_confidence,last_reviewed,notes
early_modern_local,Early Modern local,saga,,Modern local Era,1986,1990,Level A,Partial,No,,37,20,6,9,6,54.1,partial,,Parent item for Year One through Tim Drake transition.
year_one,Batman: Year One,arc,early_modern_local,Modern local Era,1987,1987,Level B,Yes,No,,4,4,0,0,0,100.0,verified,,Verified issue-level checklist in item_memberships.csv.
year_two,Batman: Year Two,arc,early_modern_local,Modern local Era,1987,1987,Level B,Yes,No,,4,0,4,0,4,0.0,verified,,Verified issue-level checklist in item_memberships.csv.
second_chances_jason_todd,Post-Crisis Jason Todd / Second Chances,story_sequence,early_modern_local,Modern local Era,1986,1988,Level B,Yes,No,,12,5,0,7,0,41.7,verified,,Verified useful Second Chances scope; roles distinguish origin/core/context rather than every intervening issue.
the_cult,Batman: The Cult,arc,early_modern_local,Modern local Era,1988,1988,Level A,Partial,No,,4,4,0,0,0,100.0,partial,,Imported from existing collection story labels.
a_death_in_the_family,A Death in the Family,arc,early_modern_local,Modern local Era,1988,1989,Level B,Yes,No,,4,2,2,0,0,50.0,verified,,Verified issue-level checklist in item_memberships.csv.
year_three,Batman: Year Three,arc,early_modern_local,Modern local Era,1989,1989,Level B,Yes,No,,4,4,0,0,0,100.0,verified,,Verified issue-level checklist in item_memberships.csv.
a_lonely_place_of_dying,A Lonely Place of Dying,crossover,early_modern_local,Modern local Era,1989,1989,Level B,Yes,Yes,,5,1,0,2,2,20.0,verified,,Verified complete cross-title reading order in item_memberships.csv.
venom,Venom,arc,knightfall_era,Modern local Era,1991,1991,Level A,Partial,No,,5,5,0,0,0,100.0,partial,,Imported from collection story labels.
knightfall_era,Knightfall Era,saga,,Modern local Era,1992,1995,Level A,Partial,No,imported_knight_block; knightfall_through_knightsend; through_prodigal; through_troika,112,112,0,0,0,100.0,partial,,Parent for current imported Knightfall-to-KnightsEnd block and later phase research.
prelude_to_knightfall,Prelude to Knightfall,arc,knightfall_era,Modern local Era,1992,1993,Level B,Yes,No,,17,17,0,0,0,100.0,verified,,Verified direct prelude scope including Bane setup Azrael setup and late Batman/Detective setup rows.
knightfall,Knightfall,crossover,knightfall_era,Modern local Era,1993,1993,Level A,Partial,No,,37,37,0,0,0,100.0,partial,,Imported from existing collection story labels and Knight reading-order block.
knightquest,Knightquest,crossover,knightfall_era,Modern local Era,1993,1994,Level A,Partial,No,,37,37,0,0,0,100.0,partial,,Existing data groups Crusade/Search together; phase split needs research.
knightquest_the_crusade,Knightquest: The Crusade,arc,knightfall_era,Modern local Era,1993,1994,Level A,No,No,,0,0,0,0,0,0.0,needs_research,,Created as explicit phase placeholder pending verified membership.
knightquest_the_search,Knightquest: The Search,arc,knightfall_era,Modern local Era,1993,1994,Level A,No,No,,0,0,0,0,0,0.0,needs_research,,Created as explicit phase placeholder pending verified membership.
knightsend,KnightsEnd,crossover,knightfall_era,Modern local Era,1994,1994,Level A,Partial,No,,34,34,0,0,0,100.0,partial,,Imported from existing collection story labels and Knight reading-order block.
prodigal,Prodigal,crossover,knightfall_era,Modern local Era,1994,1995,Level B,Yes,Yes,collected_edition_context; verified_core,13,13,0,0,0,100.0,verified,,Verified core reading order added in item_memberships.csv; Robin #0 retained only as collected-edition context.
troika,Troika,crossover,knightfall_era,Modern local Era,1995,1995,Level B,Yes,No,banner_core; collected_edition_scope,6,6,0,0,0,100.0,verified,,"Verified membership added in item_memberships.csv; reading-order sources differ, so multiple scopes are preserved."
contagion,Batman: Contagion,crossover,,Modern local Era,1996,1996,Level B,Yes,No,default,20,12,0,8,0,60.0,partial,,"Migrated from story_arc_checklists.csv; grouped checklist, not confirmed definitive reading order."
