title,run_id,issue_number,run_status,collection_status,format,story,metadata_arc,story_title,part_label,metadata_role,metadata_notes,metadata_source_url,metadata_status,metadata_source,reading_order,source_tab,source_row,comic,notes,missing_reason
Batman,batman_404_574,408,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Batman,batman_404_574,409,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Batman,batman_404_574,412,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Batman,batman_404_574,413,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Batman,batman_404_574,415,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Batman,batman_404_574,417,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Batman,batman_404_574,418,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Batman,batman_404_574,422,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Batman,batman_404_574,423,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Batman,batman_404_574,424,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Batman,batman_404_574,425,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Batman,batman_404_574,426,not_owned,No,Original/Reprint Unknown,A Death In The Family,A Death in the Family,,Part 1,core,,https://en.wikipedia.org/wiki/List_of_Batman_comics,confirmed,issue_metadata.csv,ZZ,Batman,236,Batman #426,,not_owned
Batman,batman_404_574,427,not_owned,No,Original/Reprint Unknown,A Death In The Family,A Death in the Family,,Part 2,core,,https://en.wikipedia.org/wiki/List_of_Batman_comics,confirmed,issue_metadata.csv,ZZ,Batman,237,Batman #427,,not_owned
Batman,batman_404_574,431,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Batman,batman_404_574,440,not_owned,No,Original/Reprint Unknown,A Lonely Place of Dying,A Lonely Place of Dying,,Part 1,core,Crossover continues in The New Titans #60-61 and Batman #441-442.,https://en.wikipedia.org/wiki/List_of_Batman_comics,confirmed,issue_metadata.csv,ZZ,Batman,249,Batman #440,,not_owned
Batman,batman_404_574,442,not_owned,No,Original/Reprint Unknown,A Lonely Place of Dying,A Lonely Place of Dying,,Part 3,core,Crossover continues in The New Titans #60-61 and Batman #440-442.,https://en.wikipedia.org/wiki/List_of_Batman_comics,confirmed,issue_metadata.csv,ZZ,Batman,251,Batman #442,,not_owned
Batman,batman_404_574,444,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Batman,batman_404_574,445,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Batman,batman_404_574,450,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Batman,batman_404_574,451,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Batman,batman_404_574,453,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Batman,batman_404_574,454,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Batman,batman_404_574,463,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Batman,batman_404_574,465,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Batman,batman_404_574,475,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Batman,batman_404_574,524,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Batman,batman_404_574,536,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Batman,batman_404_574,540,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Batman,batman_404_574,546,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Batman,batman_404_574,547,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Batman,batman_404_574,550,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Batman,batman_404_574,551,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Batman,batman_404_574,552,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Batman,batman_404_574,553,absent_from_sheet,,,,Batman: Cataclysm,,core,core,,https://en.wikipedia.org/wiki/Batman%3A_Cataclysm,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Batman,batman_404_574,554,absent_from_sheet,,,,Batman: Cataclysm,,core,core,,https://en.wikipedia.org/wiki/Batman%3A_Cataclysm,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Batman,batman_404_574,555,absent_from_sheet,,,,Road to No Man's Land,,Volume 1,prelude,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Batman,batman_404_574,556,absent_from_sheet,,,,Road to No Man's Land,,Volume 1,prelude,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Batman,batman_404_574,557,absent_from_sheet,,,,Road to No Man's Land,,Volume 1,prelude,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Batman,batman_404_574,558,absent_from_sheet,,,,Road to No Man's Land,,Volume 1,prelude,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Batman,batman_404_574,559,absent_from_sheet,,,,Road to No Man's Land,,Volume 1,prelude,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Batman,batman_404_574,560,absent_from_sheet,,,,Road to No Man's Land,,Volume 2,prelude,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Batman,batman_404_574,561,absent_from_sheet,,,,Road to No Man's Land,,Volume 2,prelude,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Batman,batman_404_574,562,absent_from_sheet,,,,Road to No Man's Land,,Volume 2,prelude,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Batman,batman_404_574,563,absent_from_sheet,,,,Batman: No Man's Land,,Volume 1,core,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Batman,batman_404_574,564,absent_from_sheet,,,,Batman: No Man's Land,,Volume 1,core,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Batman,batman_404_574,565,absent_from_sheet,,,,Batman: No Man's Land,,Volume 1,core,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Batman,batman_404_574,566,absent_from_sheet,,,,Batman: No Man's Land,,Volume 1,core,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Batman,batman_404_574,567,absent_from_sheet,,,,Batman: No Man's Land,,Volume 2,core,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Batman,batman_404_574,568,absent_from_sheet,,,,Batman: No Man's Land,,Volume 2,core,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Batman,batman_404_574,569,absent_from_sheet,,,,Batman: No Man's Land,,Volume 3,core,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Batman,batman_404_574,570,absent_from_sheet,,,,Batman: No Man's Land,,Volume 3,core,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Batman,batman_404_574,571,absent_from_sheet,,,,Batman: No Man's Land,,Volume 3,core,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Batman,batman_404_574,572,absent_from_sheet,,,,Batman: No Man's Land,,Volume 4,core,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Batman,batman_404_574,573,absent_from_sheet,,,,Batman: No Man's Land,,Volume 4,core,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Batman,batman_404_574,574,absent_from_sheet,,,,Batman: No Man's Land,,Volume 4,core,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Detective Comics,detective_568_741,568,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,569,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,571,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,572,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,573,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,574,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,575,not_owned,No,Original/Reprint Unknown,Year Two,Batman: Year Two,,Part 1,core,,https://en.wikipedia.org/wiki/Publication_history_of_DC_Deluxe_Editions,confirmed,issue_metadata.csv,ZZ,Batman,532,Detective Comics #575,,not_owned
Detective Comics,detective_568_741,576,not_owned,No,Original/Reprint Unknown,Year Two,Batman: Year Two,,Part 2,core,,https://en.wikipedia.org/wiki/Publication_history_of_DC_Deluxe_Editions,confirmed,issue_metadata.csv,ZZ,Batman,533,Detective Comics #576,,not_owned
Detective Comics,detective_568_741,577,not_owned,No,Original/Reprint Unknown,Year Two,Batman: Year Two,,Part 3,core,,https://en.wikipedia.org/wiki/Publication_history_of_DC_Deluxe_Editions,confirmed,issue_metadata.csv,ZZ,Batman,534,Detective Comics #577,,not_owned
Detective Comics,detective_568_741,578,not_owned,No,Original/Reprint Unknown,Year Two,Batman: Year Two,,Part 4,core,,https://en.wikipedia.org/wiki/Publication_history_of_DC_Deluxe_Editions,confirmed,issue_metadata.csv,ZZ,Batman,535,Detective Comics #578,,not_owned
Detective Comics,detective_568_741,579,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,580,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,581,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,582,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,583,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,584,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,585,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,586,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,587,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,589,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,590,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,591,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,592,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,593,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,594,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,596,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,597,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,598,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,599,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,600,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,602,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,603,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,608,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,609,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,611,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,612,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,613,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,614,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,615,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,622,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,623,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,630,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,632,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,639,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,641,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,647,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,648,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,691,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,692,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,695,absent_from_sheet,,,,Batman: Contagion,The Gray Area,core,core,,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Detective Comics,detective_568_741,697,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,698,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,699,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,700,not_owned,No,Original/Reprint Unknown,Legacy,Batman: Legacy,,Part 1,core,,https://en.wikipedia.org/wiki/Batman%3A_Legacy,confirmed,issue_metadata.csv,Legacy10,Batman,159,Detective Comics #700,,not_owned
