ItemID,Sequence,PublicationYear,CoverDate,ParentSeries,AnnualSeries,AnnualNumber,PublicationID,RequiredOrOptional,StoryOrEvent,SourceURL,Confidence,Notes
modern_local_annuals,1986.010,1986,1986,Batman,Batman Annual,10,PUB-BAT-ANN-0010,required,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Batman Annual ran annually in this period.
modern_local_annuals,1987.010,1987,1987,Batman,Batman Annual,11,PUB-BAT-ANN-0011,required,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,
modern_local_annuals,1988.010,1988,1988,Batman,Batman Annual,12,PUB-BAT-ANN-0012,required,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,
modern_local_annuals,1989.010,1989,1989,Batman,Batman Annual,13,PUB-BAT-ANN-0013,required,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,
modern_local_annuals,1990.010,1990,1990,Batman,Batman Annual,14,PUB-BAT-ANN-0014,required,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,
modern_local_annuals,1991.010,1991,1991,Batman,Batman Annual,15,PUB-BAT-ANN-0015,required,Armageddon 2001,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,
modern_local_annuals,1992.010,1992,1992,Batman,Batman Annual,16,PUB-BAT-ANN-0016,required,Eclipso: The Darkness Within,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,
modern_local_annuals,1993.010,1993,1993,Batman,Batman Annual,17,PUB-BAT-ANN-0017,required,Bloodlines,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,verified,Bloodlines Outbreak chapter.
modern_local_annuals,1994.010,1994,1994,Batman,Batman Annual,18,PUB-BAT-ANN-0018,required,Elseworlds Annual,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,
modern_local_annuals,1995.010,1995,1995,Batman,Batman Annual,19,PUB-BAT-ANN-0019,required,Year One annuals,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,
modern_local_annuals,1996.010,1996,1996,Batman,Batman Annual,20,PUB-BAT-ANN-0020,required,Legends of the Dead Earth,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,
modern_local_annuals,1997.010,1997,1997,Batman,Batman Annual,21,PUB-BAT-ANN-0021,required,Pulp Heroes,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,
